,X1,X2,class,cluster
1001,0.24554085487962302,0.744671358782317,1.0,1
1002,0.255365905547628,0.24156668594188396,2.0,2
1003,0.25176030355248197,0.7428363292352371,1.0,1
1004,0.230838589495406,0.717072890879408,1.0,1
1005,0.23928668405832298,0.25107601303419297,2.0,2
1006,0.23681648868531197,0.749326896359081,1.0,1
1008,0.25917629213641896,0.7343341435734878,1.0,1
1009,0.256472913450616,0.253025089943484,2.0,2
1010,0.23971822055290803,0.742291061380861,1.0,1
1011,0.238869850961455,0.222354349485172,2.0,2
1012,0.24917284817510396,0.7442341183981759,1.0,1
1013,0.260367726326318,0.262373062266868,2.0,2
1014,0.241059108541998,0.7209786258705859,1.0,1
1015,0.265657291123474,0.26978635281411106,2.0,2
1016,0.267542849676356,0.7607778875838481,1.0,1
1017,0.25731782999805,0.246927252997685,2.0,2
1018,0.26815420198181195,0.7229290989697459,1.0,1
1019,0.2516753584564,0.249494651715837,2.0,2
1020,0.257473729105789,0.753669942665784,1.0,1
1022,0.24433643685714698,0.243309851595246,2.0,2
1023,0.253386430911136,0.732559703300644,1.0,1
1024,0.24847526005396697,0.7274706243868271,1.0,1
1025,0.262711765632779,0.7587432745910029,1.0,1
1026,0.258968443873793,0.24847695163187802,2.0,2
1027,0.26256075126786804,0.758544060487486,1.0,1
1028,0.275472824414368,0.273434578773718,2.0,2
1029,0.23966126275579397,0.7454770573673491,1.0,1
1030,0.23339290390722503,0.7457861142532242,1.0,1
1031,0.249085086104955,0.7417852130643041,1.0,1
1032,0.27469269851475,0.24417296631705998,2.0,2
1033,0.26044906182275196,0.242661146352376,2.0,2
1034,0.256724966249754,0.7432096571393509,1.0,1
1035,0.248286448123499,0.7611338174163531,1.0,1
1036,0.254474730654575,0.736778450806783,1.0,1
1038,0.239535275679849,0.25920229349895196,2.0,2
1039,0.265716272526178,0.7438954276946551,1.0,1
1040,0.252846666382314,0.762336721404264,1.0,1
1041,0.26855332971942497,0.258398092383957,2.0,2
1042,0.254866761081909,0.251726998824958,2.0,2
1043,0.280213432597655,0.7307949277083381,1.0,1
1044,0.263346657451716,0.7581190726154241,1.0,1
1045,0.25380243523977697,0.25113935652189,,2
1046,0.284154924653781,0.7520086892900211,1.0,1
1047,0.255543932640735,0.747741692469476,1.0,1
1049,0.254555473990383,0.736175505195886,1.0,1
1050,0.252872977374717,0.268707776301718,2.0,2
1051,0.246950705300185,0.24108198292880104,2.0,2
1052,0.258375922884848,0.253173941904541,2.0,2
1053,0.265153489021521,0.738814328377018,1.0,1
1054,0.266048248669154,0.265270459626096,2.0,2
1055,0.254778972141301,0.742830839186153,1.0,1
1056,0.256185517690927,0.258259396325372,2.0,2
1057,0.24395595218778302,0.750916589277193,1.0,1
1058,0.27574615975134803,0.27410002354322305,2.0,2
1059,0.251365175037299,0.7373368643896321,1.0,1
1060,0.277120775985907,0.7622296206330159,1.0,1
1061,0.26288112515298395,0.7473229499403431,1.0,1
1062,0.266988286184777,0.761399699438712,1.0,1
1063,0.24208505940286,0.7418775093460941,1.0,1
1065,0.24956946946091801,0.267810954993502,2.0,2
1066,0.24885193409136702,0.7530599114364379,1.0,1
1067,0.25326489034821104,0.272811872117523,2.0,2
1068,0.26352780947890697,0.259207273645825,2.0,2
1069,0.27639147965938204,0.24024425345452105,2.0,2
1070,0.25157398172559603,0.723782553956662,1.0,1
1071,0.256787621927571,0.26679165283130196,2.0,2
1072,0.268752191581837,0.75632358103571,1.0,1
1073,0.24671395199024398,0.7363705488896959,1.0,1
1074,0.280962444007056,0.259413342021641,2.0,2
1075,0.268495398103357,0.247955862828587,2.0,2
1076,0.255298618973209,0.262274381370454,2.0,2
1077,0.24756782105231895,0.264924681818553,2.0,2
1078,0.251925651497363,0.7238582847229691,1.0,1
1079,0.271721112330617,0.7285484543655669,1.0,1
1080,0.26975128154905903,0.262065924497962,2.0,2
1082,0.264196210087303,0.7387674432514221,1.0,1
1083,0.27645905955076194,0.271890952260716,2.0,2
1084,0.2571108996068,0.729128622695313,1.0,1
1085,0.270798708043501,0.7235341170261559,1.0,1
1086,0.269883856500637,0.260050401977687,2.0,2
1087,0.275933379089873,0.25302380263327395,2.0,2
1088,0.274597372365824,0.267768010179431,2.0,2
1089,0.263294618502277,0.26156272284570997,2.0,2
1091,0.25388307192307896,0.758730472341149,1.0,1
1092,0.267793083017485,0.7438315185263149,1.0,1
1093,0.267639648742522,0.275984677516471,2.0,2
1094,0.26339073307994804,0.7352962619966541,1.0,1
1095,0.262652883261214,0.267183695371802,2.0,2
1096,0.25991403071064,0.270738478460993,2.0,2
1097,0.266654157227064,0.735259382781746,1.0,1
1098,0.271003579106346,0.7164345209025,1.0,1
1099,0.259828774498807,0.268228252835975,2.0,2
1100,0.26853961103466195,0.264497296315036,2.0,2
1101,0.25760656129014203,0.26362702413155303,2.0,2
1102,0.258849508291454,0.739888910291207,1.0,1
1103,0.26207731864843,0.264631445051748,2.0,2
1104,0.250522967316845,0.259434810843853,2.0,2
1105,0.266750756117436,0.27033996738817,2.0,2
1106,0.26381662187078,0.7165286381321422,1.0,1
1107,0.281616931724036,0.7444958906794391,1.0,1
1109,0.251388195995031,0.735312093712243,1.0,1
1110,0.25901662964757,0.7276580400811191,1.0,1
1111,0.271459699429948,0.723259060894022,1.0,1
1112,0.25397659241063,0.7565757011552049,1.0,1
1113,0.254334511783707,0.27852559854664,2.0,2
1114,0.269528274315931,0.277965540521986,2.0,2
1115,0.269601428410023,0.263827584709812,2.0,2
1116,0.27042345546882396,0.264934252222229,2.0,2
1117,0.27510770551794,0.732727682669439,1.0,1
1118,0.271583990232088,0.7372269599583359,1.0,1
1119,0.256349241778814,0.726033746197076,1.0,1
1120,0.26350049026689604,0.7170702737571658,1.0,1
1121,0.273350968031546,0.7403307203000429,1.0,1
1122,0.27231169931731997,0.729905113628705,1.0,1
1123,0.260444233129935,0.740202696345063,1.0,1
1125,0.252785078265015,0.714886280003697,1.0,1
1126,0.25835250829942497,0.26984953399656897,2.0,2
1127,0.257509596676597,0.7334379519637221,1.0,1
1128,0.263871994158124,0.262896146969855,2.0,2
1129,0.27294671838093304,0.733855068606326,1.0,1
1130,0.268432578600894,0.273887165966351,2.0,2
1131,0.25808024924848805,0.27501886786311,2.0,2
1132,0.25199749024786106,0.7297313346727321,1.0,1
1133,0.277695067342511,0.26711643303161,2.0,2
1134,0.269778021280912,0.745857996697893,1.0,1
1135,0.283499424620766,0.7303403362366091,1.0,1
1136,0.254101527533433,0.732069984729425,1.0,1
1137,0.265597711474939,0.729177596400217,1.0,1
1138,0.271708223759212,0.277819168470972,2.0,2
1140,0.277633009904759,0.274109411409721,2.0,2
1141,0.285208617387689,0.748682363281178,1.0,1
1142,0.264418995228009,0.286336612176267,2.0,2
1143,0.282121502167677,0.743163262165971,1.0,1
1144,0.281203610988497,0.28875380190454697,2.0,2
1145,0.270014183390172,0.707938549858833,1.0,1
1148,0.266344313426059,0.7228064059526709,1.0,1
1149,0.25863123395714605,0.7307612185715919,1.0,1
1150,0.266840966266734,0.7295683539667069,1.0,1
1151,0.25953532711835897,0.28019488978723806,2.0,2
1153,0.268729011298095,0.259278863184007,2.0,2
1154,0.277322509310849,0.26716780166036697,2.0,2
1155,0.27571193604229605,0.275520841045326,2.0,2
1156,0.289922919138611,0.278762990054557,2.0,2
