"x","y","class"
"1",-3.57678749626946,-1.77382821357813,3
"2",-0.422769077495636,-2.71833082456906,4
"3",-1.00247428977429,-0.605140502767632,3
"4",0.655159391430526,3.90037604403311,1
"5",-2.29076343298266,-4.85558253258012,4
"6",-0.0741362726556651,-1.57846990976659,4
"7",-3.89745794641944,-3.09771281395385,3
"8",-3.03326308802872,-2.93580992367367,3
"9",-0.797969950681587,3.08919680767072,1
"10",-0.754751985913036,4.3273420964808,1
"11",-2.39974952385317,-2.46528778256544,3
"12",-3.82998837508428,-2.44699441875514,3
"13",-0.0980939906158509,-4.50535635965483,4
"14",-0.144561988227505,-1.56437769525084,4
"15",-1.50755312610875,-0.812920273048497,3
"16",0.627522902284975,-1.48399114324544,4
"17",-0.427653963693589,3.39364568966805,1
"18",-1.7434882177312,4.15962859243698,1
"19",-0.193017277581393,-3.79382241959032,4
"20",2.06957820420073,1.44249022559969,2
"21",-3.92993723349959,-4.01892753410074,3
"22",2.8223535593163,0.937870538049164,2
"23",-1.08361539099359,-1.19206777089962,3
"24",-1.2988617732247,3.84618501726282,1
"25",-1.87105807142537,0.393661851602281,3
"26",-0.259132454634299,4.98385294081074,1
"27",-2.12228489247845,5.60118420005358,1
"28",-2.73913564742485,-3.35942487866604,3
"29",-2.05388291144908,3.40190403749952,1
"30",1.26266674809826,2.40035525563666,1
"31",-1.32611442407791,0.0874832558390082,3
"32",0.00388439817760711,-2.38929690816551,4
"33",0.293681007265731,4.40702224020259,1
"34",-2.13958095170808,-1.10909655013174,3
"35",-2.73995337988156,-2.17249986670092,3
"36",-2.66419411085514,-0.540550366188818,3
"37",-0.137194073774569,3.26289304595581,1
"38",-0.676694713608642,-3.59089057296464,4
"39",-1.16299318040393,-0.874754231594135,3
"40",3.2250741816626,1.89310410652765,2
"41",0.895957539563095,4.27717181499732,1
"42",-1.58540901154139,-1.98341813656229,3
"43",-0.738009914162628,5.13282610757457,1
"44",0.983754898399366,3.40933167876075,1
"45",-2.38956050583255,-1.05116286346622,3
